,symbol,exchange,industry,sector,name
AU,AU,MAI,เกษตรและอุตสาหกรรมอาหาร,-,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน)
AUCT,AUCT,MAI,บริการ,-,บริษัท สหการประมูล จำกัด (มหาชน)
AWC,AWC,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)
AYUD,AYUD,SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,บริษัท อลิอันซ์ อยุธยา แคปปิตอล จำกัด (มหาชน)
B,B,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท บี จิสติกส์ จำกัด (มหาชน)
B52,B52,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท บี-52 แคปปิตอล จำกัด (มหาชน)
BA,BA,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท การบินกรุงเทพ จำกัด (มหาชน)
BAFS,BAFS,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน)
BAM,BAM,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน)
BANPU,BANPU,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท บ้านปู จำกัด (มหาชน)
BAT-3K,BAT-3K,SET,สินค้าอุตสาหกรรม,ยานยนต์,บริษัท ฮิตาชิ เคมิคอล สโตเรจ แบตเตอรี่ (ประเทศไทย) จำกัด (มหาชน)
BAY,BAY,SET,ธุรกิจการเงิน,ธนาคาร,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน)
BBL,BBL,SET,ธุรกิจการเงิน,ธนาคาร,ธนาคารกรุงเทพ จำกัด (มหาชน)
BC,BC,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท บูทิค คอร์ปอเรชั่น จำกัด (มหาชน)
BCH,BCH,SET,บริการ,การแพทย์,บริษัท บางกอก เชน ฮอสปิทอล จำกัด (มหาชน)
BCP,BCP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน)
BCT,BCT,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท เบอร์ล่า คาร์บอน (ไทยแลนด์) จำกัด (มหาชน)
BDMS,BDMS,SET,บริการ,การแพทย์,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน)
BEAUTY,BEAUTY,SET,บริการ,พาณิชย์,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน)
BEC,BEC,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท บีอีซี เวิลด์ จำกัด (มหาชน)
BEM,BEM,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน)
BFIT,BFIT,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัทเงินทุน ศรีสวัสดิ์ จำกัด (มหาชน)
BGC,BGC,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,บริษัท บีจี คอนเทนเนอร์ กล๊าส จำกัด (มหาชน)
